zip,dollars,timestamp,date,city,state,latitude,longitude
10019,100000,"","", , ,40.7651,-73.9858
95762,500000,"","", , ,38.685,-121.068
94126,150000,"","",San Francisco,CA,37.7848,-122.7278
10011,100000,"","",New York,NY,40.7402,-73.9996
94129,150000,"","",San Francisco,CA,37.8005,-122.465
94024,100000,"","", , ,37.3547,-122.0862
10013,250000,"","",New York,NY,40.7185,-74.0025
60604,10000,"","", , ,41.8784,-87.633
"",25000,"","", , ,,
"",250,"","", , ,,
"",1000,"","", , ,,
"",2000,"","", , ,,
20056,193336,"","",Washington,DC,38.8933,-77.0146
94709,142329,"","",Berkeley,CA,37.8784,-122.2655
92660,10000,"","",NEWPORT BEACH,CA,33.6295,-117.8684
02139,100,"",2014-05-01,Cambridge,MA,42.3647,-71.1042
02446,500,"",2014-05-01,BROOKLINE,MA,42.3431,-71.123
78729,10,"",2014-05-01,Austin,TX,30.4521,-97.7688
01527,15,"",2014-05-01,Millbury,MA,42.1968,-71.7644
94303,30,"",2014-05-01,Palo Alto,CA,37.4673,-122.1388
94121,20,"",2014-05-01,San Francisco,CA,37.7786,-122.4892
94107,100,"",2014-05-01,San Francisco,CA,37.7621,-122.3971
21093,100,"",2014-05-01,TIMONIUM,MD,39.4332,-76.6546
10019,115,"",2014-05-01,Manhattan,NY,40.7651,-73.9858
37138,25,"",2014-05-01,Old Hickory,TN,36.2416,-86.6117
31513,100,"",2014-05-01,Baxley,GA,31.7837,-82.3486
11249,50,"",2014-05-01,Brooklyn,NY,40.6451,-73.945
03261,25,"",2014-05-01,Northwood,NH,43.207,-71.2004
90069,50,"",2014-05-01,CA,CA,34.0906,-118.3788
10019,50,"",2014-05-01,New York,NY,40.7651,-73.9858
78746,50,"",2014-05-01,Austin,TX,30.2971,-97.8181
20001,100,"",2014-05-01,Washington,DC,38.9122,-77.0177
08904,500,"",2014-05-01,Highland Park,NJ,40.4991,-74.4266
40241,100,"",2014-05-01,Louisville,KY,38.3045,-85.5815
63368,200,"",2014-05-01,O'Fallon,MO,38.7513,-90.7296
08691,5,"",2014-05-01,Robbinsville,NJ,40.2197,-74.5939
77339,200,"",2014-05-01,Houston,TX,30.0563,-95.2107
41076,5,"",2014-05-01,Highland Heights,KY,39.0262,-84.4408
37027,100,"",2014-05-01,Brentwood,TN,36.0063,-86.7909
12943,50,"",2014-05-01,Keene Valley,NY,44.2024,-73.7731
80030,10,"",2014-05-01,Westminster,CO,39.8302,-105.037
